sigla_uf,nome_municipio,codigo_ibge,mais_comum,candidaturas,n_mais_comum
AM,LÁBREA,1302405,VÁRIAS,3,1
AM,MANACAPURU,1302504,PARDA,5,5
AM,MANAQUIRI,1302553,VÁRIAS,4,2
AM,MANAUS,1302603,VÁRIAS,11,5
AM,MANICORÉ,1302702,PARDA,4,3
AM,MARAÃ,1302801,PARDA,6,5
AM,MAUÉS,1302900,PARDA,3,2
AM,NHAMUNDÁ,1303007,PARDA,4,4
AM,NOVA OLINDA DO NORTE,1303106,PARDA,7,5
AM,NOVO AIRÃO,1303205,PARDA,5,5
AM,NOVO ARIPUANÃ,1303304,PARDA,4,3
AM,PARINTINS,1303403,PARDA,3,2
AM,PAUINI,1303502,BRANCA,3,2
AM,PRESIDENTE FIGUEIREDO,1303536,BRANCA,10,5
AM,RIO PRETO DA EVA,1303569,PARDA,2,2
AM,SANTA ISABEL DO RIO NEGRO,1303601,PARDA,7,3
AM,SANTO ANTÔNIO DO IÇÁ,1303700,PARDA,4,3
AM,SÃO GABRIEL DA CACHOEIRA,1303809,INDÍGENA,6,4
AM,SÃO PAULO DE OLIVENÇA,1303908,PARDA,4,3
AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,PARDA,5,4
AM,SILVES,1304005,PARDA,5,5
AM,TABATINGA,1304062,PARDA,5,3
AM,TAPAUÁ,1304104,PARDA,2,2
AM,TEFÉ,1304203,PARDA,7,4
AM,TONANTINS,1304237,PARDA,4,3
AM,UARINI,1304260,PARDA,3,2
AM,URUCARÁ,1304302,PARDA,5,4
AM,URUCURITUBA,1304401,PARDA,3,3
AP,ÁGUA BRANCA DO AMAPARI,1600154,PARDA,3,2
AP,AMAPÁ,1600105,BRANCA,3,2
AP,CALÇOENE,1600204,VÁRIAS,5,2
AP,CUTIAS,1600212,PARDA,5,5
AP,FERREIRA GOMES,1600238,PARDA,5,4
AP,ITAUBAL,1600253,VÁRIAS,6,3
AP,LARANJAL DO JARI,1600279,PARDA,5,3
AP,MACAPÁ,1600303,PARDA,10,6
AP,MAZAGÃO,1600402,PARDA,6,4
AP,OIAPOQUE,1600501,PRETA,7,3
AP,PORTO GRANDE,1600535,PARDA,7,5
AP,PRACUÚBA,1600550,PARDA,5,3
AP,SANTANA,1600600,PARDA,9,6
AP,SERRA DO NAVIO,1600055,PARDA,5,4
AP,TARTARUGALZINHO,1600709,PARDA,4,3
AP,VITÓRIA DO JARI,1600808,PARDA,7,4
BA,ABAÍRA,2900108,VÁRIAS,2,1
BA,ABARÉ,2900207,PARDA,3,2
BA,ACAJUTIBA,2900306,PARDA,2,2
BA,ADUSTINA,2900355,BRANCA,3,3
BA,ÁGUA FRIA,2900405,PRETA,4,2
BA,AIQUARA,2900603,PARDA,2,2
BA,ALAGOINHAS,2900702,PARDA,7,4
BA,ALCOBAÇA,2900801,PARDA,3,2
BA,ALMADINA,2900900,VÁRIAS,4,2
BA,AMARGOSA,2901007,VÁRIAS,2,1
BA,AMÉLIA RODRIGUES,2901106,PARDA,5,3
BA,AMÉRICA DOURADA,2901155,PARDA,4,2
BA,ANAGÉ,2901205,PARDA,7,4
BA,ANDARAÍ,2901304,VÁRIAS,2,1
BA,ANDORINHA,2901353,BRANCA,3,3
BA,ANGICAL,2901403,VÁRIAS,3,1
BA,ANGUERA,2901502,PARDA,2,2
BA,ANTAS,2901601,VÁRIAS,2,1
BA,ANTÔNIO CARDOSO,2901700,BRANCA,4,2
BA,ANTÔNIO GONÇALVES,2901809,VÁRIAS,3,1
BA,APORÁ,2901908,PARDA,3,3
BA,APUAREMA,2901957,PARDA,2,2
BA,ARAÇÁS,2902054,BRANCA,4,2
BA,ARACATU,2902005,VÁRIAS,2,1
BA,ARACI,2902104,BRANCA,3,2
