codigo_ibge,candidaturas,nome_municipio,capital,sigla_uf,feminino,masculino,prop_feminino
2902906,4,BARRA DO CHOÇA,0,BA,0,4,0
2903003,2,BARRA DO MENDES,0,BA,0,2,0
2903102,2,BARRA DO ROCHA,0,BA,0,2,0
2903201,4,BARREIRAS,0,BA,0,4,0
2903235,2,BARRO ALTO,0,BA,0,2,0
2903300,2,BARRO PRETO,0,BA,1,1,0.5
2903276,2,BARROCAS,0,BA,0,2,0
2903409,3,BELMONTE,0,BA,0,3,0
2903508,3,BELO CAMPO,0,BA,0,3,0
2903607,5,BIRITINGA,0,BA,0,5,0
2903706,4,BOA NOVA,0,BA,1,3,0.25
2903805,4,BOA VISTA DO TUPIM,0,BA,0,4,0
2903904,3,BOM JESUS DA LAPA,0,BA,0,3,0
2903953,3,BOM JESUS DA SERRA,0,BA,0,3,0
2904001,3,BONINAL,0,BA,1,2,0.3333333333333333
2904050,2,BONITO,0,BA,0,2,0
2904100,3,BOQUIRA,0,BA,0,3,0
2904209,2,BOTUPORÃ,0,BA,0,2,0
2904308,5,BREJÕES,0,BA,0,5,0
2904407,2,BREJOLÂNDIA,0,BA,0,2,0
2904506,4,BROTAS DE MACAÚBAS,0,BA,0,4,0
2904605,4,BRUMADO,0,BA,0,4,0
2904704,2,BUERAREMA,0,BA,0,2,0
2904753,4,BURITIRAMA,0,BA,0,4,0
2904803,2,CAATIBA,0,BA,1,1,0.5
2904852,4,CABACEIRAS DO PARAGUAÇU,0,BA,1,3,0.25
2904902,5,CACHOEIRA,0,BA,1,4,0.2
2905008,2,CACULÉ,0,BA,0,2,0
2905107,2,CAEM,0,BA,0,2,0
2905156,3,CAETANOS,0,BA,0,3,0
2905206,4,CAETITÉ,0,BA,0,4,0
2905305,2,CAFARNAUM,0,BA,1,1,0.5
2905404,4,CAIRU,0,BA,0,4,0
2905503,3,CALDEIRÃO GRANDE,0,BA,0,3,0
2905602,3,CAMACAN,0,BA,0,3,0
2905701,11,CAMAÇARI,0,BA,1,10,0.09090909090909091
2905800,2,CAMAMU,0,BA,0,2,0
2905909,3,CAMPO ALEGRE DE LOURDES,0,BA,1,2,0.3333333333333333
2906006,2,CAMPO FORMOSO,0,BA,1,1,0.5
2906105,3,CANÁPOLIS,0,BA,0,3,0
2906204,3,CANARANA,0,BA,1,2,0.3333333333333333
2906303,3,CANAVIEIRAS,0,BA,0,3,0
2906402,3,CANDEAL,0,BA,0,3,0
2906501,8,CANDEIAS,0,BA,3,5,0.375
2906600,3,CANDIBA,0,BA,1,2,0.3333333333333333
2906709,6,CÂNDIDO SALES,0,BA,2,4,0.3333333333333333
2906808,4,CANSANÇÃO,0,BA,1,3,0.25
2906824,4,CANUDOS,0,BA,2,2,0.5
2906857,2,CAPELA DO ALTO ALEGRE,0,BA,0,2,0
2906873,3,CAPIM GROSSO,0,BA,0,3,0
2906899,3,CARAÍBAS,0,BA,1,2,0.3333333333333333
2906907,4,CARAVELAS,0,BA,0,4,0
2907004,2,CARDEAL DA SILVA,0,BA,1,1,0.5
2907103,4,CARINHANHA,0,BA,1,3,0.25
2907202,5,CASA NOVA,0,BA,0,5,0
2907301,3,CASTRO ALVES,0,BA,1,2,0.3333333333333333
