sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
AL,OURO BRANCO,2706109,0,PRETA,1,4
AL,PALESTINA,2706208,0,BRANCA,3,3
AL,PALMEIRA DOS ÍNDIOS,2706307,0,BRANCA,2,3
AL,PALMEIRA DOS ÍNDIOS,2706307,0,PRETA,1,3
AL,PÃO DE AÇÚCAR,2706406,0,BRANCA,3,4
AL,PÃO DE AÇÚCAR,2706406,0,PARDA,1,4
AL,PARICONHA,2706422,0,BRANCA,1,3
AL,PARICONHA,2706422,0,INDÍGENA,2,3
AL,PARIPUEIRA,2706448,0,BRANCA,1,3
AL,PARIPUEIRA,2706448,0,PARDA,2,3
AL,PASSO DE CAMARAGIBE,2706505,0,BRANCA,3,5
AL,PASSO DE CAMARAGIBE,2706505,0,PARDA,2,5
AL,PAULO JACINTO,2706604,0,BRANCA,1,2
AL,PAULO JACINTO,2706604,0,PARDA,1,2
AL,PENEDO,2706703,0,BRANCA,1,5
AL,PENEDO,2706703,0,PARDA,3,5
AL,PENEDO,2706703,0,PRETA,1,5
AL,PIAÇABUÇU,2706802,0,BRANCA,2,3
AL,PIAÇABUÇU,2706802,0,PARDA,1,3
AL,PILAR,2706901,0,BRANCA,3,3
AL,PINDOBA,2707008,0,BRANCA,2,2
AL,PIRANHAS,2707107,0,BRANCA,1,3
AL,PIRANHAS,2707107,0,PARDA,2,3
AL,POÇO DAS TRINCHEIRAS,2707206,0,BRANCA,3,3
AL,PORTO CALVO,2707305,0,BRANCA,3,5
AL,PORTO CALVO,2707305,0,PARDA,2,5
AL,PORTO DE PEDRAS,2707404,0,BRANCA,1,2
AL,PORTO DE PEDRAS,2707404,0,PARDA,1,2
AL,PORTO REAL DO COLÉGIO,2707503,0,BRANCA,1,2
AL,PORTO REAL DO COLÉGIO,2707503,0,PARDA,1,2
AL,QUEBRANGULO,2707602,0,BRANCA,1,2
AL,QUEBRANGULO,2707602,0,PARDA,1,2
AL,RIO LARGO,2707701,0,BRANCA,3,3
AL,ROTEIRO,2707800,0,PARDA,4,4
AL,SANTA LUZIA DO NORTE,2707909,0,BRANCA,1,2
AL,SANTA LUZIA DO NORTE,2707909,0,PARDA,1,2
AL,SANTANA DO IPANEMA,2708006,0,BRANCA,1,6
AL,SANTANA DO IPANEMA,2708006,0,PARDA,5,6
AL,SANTANA DO MUNDAÚ,2708105,0,BRANCA,1,2
AL,SANTANA DO MUNDAÚ,2708105,0,PARDA,1,2
AL,SÃO BRÁS,2708204,0,BRANCA,2,3
AL,SÃO BRÁS,2708204,0,PARDA,1,3
AL,SÃO JOSÉ DA LAJE,2708303,0,BRANCA,1,3
AL,SÃO JOSÉ DA LAJE,2708303,0,PARDA,2,3
AL,SÃO JOSÉ DA TAPERA,2708402,0,BRANCA,2,5
AL,SÃO JOSÉ DA TAPERA,2708402,0,PARDA,3,5
AL,SÃO LUÍS DO QUITUNDE,2708501,0,BRANCA,1,3
AL,SÃO LUÍS DO QUITUNDE,2708501,0,PARDA,2,3
AL,SÃO MIGUEL DOS CAMPOS,2708600,0,BRANCA,2,4
AL,SÃO MIGUEL DOS CAMPOS,2708600,0,PARDA,2,4
AL,SÃO MIGUEL DOS MILAGRES,2708709,0,BRANCA,2,4
