sigla_uf,nome_municipio,codigo_ibge,descricao_sexo,capital,n,candidaturas
AM,ITACOATIARA,1301902,MASCULINO,0,6,6
AM,ITAMARATI,1301951,FEMININO,0,1,1
AM,ITAMARATI,1301951,MASCULINO,0,1,1
AM,ITAPIRANGA,1302009,FEMININO,0,1,1
AM,ITAPIRANGA,1302009,MASCULINO,0,2,2
AM,JAPURÁ,1302108,FEMININO,0,1,1
AM,JAPURÁ,1302108,MASCULINO,0,3,3
AM,JURUÁ,1302207,MASCULINO,0,4,4
AM,JUTAÍ,1302306,FEMININO,0,1,1
AM,JUTAÍ,1302306,MASCULINO,0,3,3
AM,LÁBREA,1302405,MASCULINO,0,3,3
AM,MANACAPURU,1302504,MASCULINO,0,5,5
AM,MANAQUIRI,1302553,MASCULINO,0,4,4
AM,MANAUS,1302603,MASCULINO,1,11,11
AM,MANICORÉ,1302702,MASCULINO,0,4,4
AM,MARAÃ,1302801,FEMININO,0,1,1
AM,MARAÃ,1302801,MASCULINO,0,5,5
AM,MAUÉS,1302900,MASCULINO,0,3,3
AM,NHAMUNDÁ,1303007,FEMININO,0,1,1
AM,NHAMUNDÁ,1303007,MASCULINO,0,3,3
AM,NOVA OLINDA DO NORTE,1303106,MASCULINO,0,7,7
AM,NOVO AIRÃO,1303205,FEMININO,0,1,1
AM,NOVO AIRÃO,1303205,MASCULINO,0,4,4
AM,NOVO ARIPUANÃ,1303304,MASCULINO,0,4,4
AM,PARINTINS,1303403,MASCULINO,0,3,3
AM,PAUINI,1303502,FEMININO,0,1,1
AM,PAUINI,1303502,MASCULINO,0,2,2
AM,PRESIDENTE FIGUEIREDO,1303536,FEMININO,0,2,2
AM,PRESIDENTE FIGUEIREDO,1303536,MASCULINO,0,8,8
AM,RIO PRETO DA EVA,1303569,MASCULINO,0,2,2
AM,SANTA ISABEL DO RIO NEGRO,1303601,FEMININO,0,1,1
AM,SANTA ISABEL DO RIO NEGRO,1303601,MASCULINO,0,6,6
AM,SANTO ANTÔNIO DO IÇÁ,1303700,MASCULINO,0,4,4
AM,SÃO GABRIEL DA CACHOEIRA,1303809,MASCULINO,0,6,6
AM,SÃO PAULO DE OLIVENÇA,1303908,FEMININO,0,1,1
AM,SÃO PAULO DE OLIVENÇA,1303908,MASCULINO,0,3,3
AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,MASCULINO,0,5,5
AM,SILVES,1304005,MASCULINO,0,5,5
AM,TABATINGA,1304062,FEMININO,0,1,1
AM,TABATINGA,1304062,MASCULINO,0,4,4
AM,TAPAUÁ,1304104,MASCULINO,0,2,2
AM,TEFÉ,1304203,FEMININO,0,1,1
AM,TEFÉ,1304203,MASCULINO,0,6,6
AM,TONANTINS,1304237,MASCULINO,0,4,4
AM,UARINI,1304260,FEMININO,0,1,1
AM,UARINI,1304260,MASCULINO,0,2,2
AM,URUCARÁ,1304302,FEMININO,0,2,2
AM,URUCARÁ,1304302,MASCULINO,0,3,3
AM,URUCURITUBA,1304401,MASCULINO,0,3,3
AP,ÁGUA BRANCA DO AMAPARI,1600154,FEMININO,0,1,1
AP,ÁGUA BRANCA DO AMAPARI,1600154,MASCULINO,0,2,2
AP,AMAPÁ,1600105,MASCULINO,0,3,3
AP,CALÇOENE,1600204,FEMININO,0,2,2
AP,CALÇOENE,1600204,MASCULINO,0,3,3
AP,CUTIAS,1600212,MASCULINO,0,5,5
AP,FERREIRA GOMES,1600238,MASCULINO,0,5,5
AP,ITAUBAL,1600253,MASCULINO,0,6,6
AP,LARANJAL DO JARI,1600279,MASCULINO,0,5,5
AP,MACAPÁ,1600303,FEMININO,1,1,1
AP,MACAPÁ,1600303,MASCULINO,1,9,9
AP,MAZAGÃO,1600402,MASCULINO,0,6,6
AP,OIAPOQUE,1600501,FEMININO,0,1,1
AP,OIAPOQUE,1600501,MASCULINO,0,6,6
AP,PORTO GRANDE,1600535,MASCULINO,0,7,7
AP,PRACUÚBA,1600550,FEMININO,0,1,1
AP,PRACUÚBA,1600550,MASCULINO,0,4,4
AP,SANTANA,1600600,FEMININO,0,1,1
AP,SANTANA,1600600,MASCULINO,0,8,8
AP,SERRA DO NAVIO,1600055,FEMININO,0,1,1
AP,SERRA DO NAVIO,1600055,MASCULINO,0,4,4
AP,TARTARUGALZINHO,1600709,MASCULINO,0,4,4
AP,VITÓRIA DO JARI,1600808,FEMININO,0,2,2
AP,VITÓRIA DO JARI,1600808,MASCULINO,0,5,5
BA,ABAÍRA,2900108,MASCULINO,0,2,2
BA,ABARÉ,2900207,FEMININO,0,1,1
BA,ABARÉ,2900207,MASCULINO,0,2,2
BA,ACAJUTIBA,2900306,MASCULINO,0,2,2
BA,ADUSTINA,2900355,FEMININO,0,1,1
BA,ADUSTINA,2900355,MASCULINO,0,2,2
BA,ÁGUA FRIA,2900405,FEMININO,0,1,1
BA,ÁGUA FRIA,2900405,MASCULINO,0,3,3
BA,AIQUARA,2900603,MASCULINO,0,2,2
BA,ALAGOINHAS,2900702,MASCULINO,0,7,7
BA,ALCOBAÇA,2900801,MASCULINO,0,3,3
BA,ALMADINA,2900900,FEMININO,0,1,1
BA,ALMADINA,2900900,MASCULINO,0,3,3
BA,AMARGOSA,2901007,FEMININO,0,1,1
BA,AMARGOSA,2901007,MASCULINO,0,1,1
BA,AMÉLIA RODRIGUES,2901106,MASCULINO,0,5,5
BA,AMÉRICA DOURADA,2901155,FEMININO,0,1,1
BA,AMÉRICA DOURADA,2901155,MASCULINO,0,3,3
BA,ANAGÉ,2901205,MASCULINO,0,7,7
BA,ANDARAÍ,2901304,MASCULINO,0,2,2
BA,ANDORINHA,2901353,FEMININO,0,1,1
BA,ANDORINHA,2901353,MASCULINO,0,2,2
BA,ANGICAL,2901403,MASCULINO,0,3,3
BA,ANGUERA,2901502,MASCULINO,0,2,2
BA,ANTAS,2901601,MASCULINO,0,2,2
BA,ANTÔNIO CARDOSO,2901700,FEMININO,0,1,1
BA,ANTÔNIO CARDOSO,2901700,MASCULINO,0,3,3
BA,ANTÔNIO GONÇALVES,2901809,MASCULINO,0,3,3
BA,APORÁ,2901908,FEMININO,0,1,1
BA,APORÁ,2901908,MASCULINO,0,2,2
BA,APUAREMA,2901957,MASCULINO,0,2,2
BA,ARAÇÁS,2902054,MASCULINO,0,4,4
BA,ARACATU,2902005,FEMININO,0,1,1
BA,ARACATU,2902005,MASCULINO,0,1,1
BA,ARACI,2902104,FEMININO,0,1,1
BA,ARACI,2902104,MASCULINO,0,2,2
BA,ARAMARI,2902203,MASCULINO,0,3,3
BA,ARATACA,2902252,FEMININO,0,2,2
BA,ARATACA,2902252,MASCULINO,0,1,1
BA,ARATUÍPE,2902302,MASCULINO,0,3,3
BA,AURELINO LEAL,2902401,MASCULINO,0,2,2
BA,BAIANÓPOLIS,2902500,FEMININO,0,1,1
BA,BAIANÓPOLIS,2902500,MASCULINO,0,3,3
BA,BAIXA GRANDE,2902609,MASCULINO,0,2,2
BA,BANZAÊ,2902658,FEMININO,0,1,1
BA,BANZAÊ,2902658,MASCULINO,0,1,1
BA,BARRA,2902708,FEMININO,0,1,1
BA,BARRA,2902708,MASCULINO,0,3,3
BA,BARRA DA ESTIVA,2902807,MASCULINO,0,3,3
BA,BARRA DO CHOÇA,2902906,MASCULINO,0,4,4
BA,BARRA DO MENDES,2903003,MASCULINO,0,2,2
BA,BARRA DO ROCHA,2903102,MASCULINO,0,2,2
BA,BARREIRAS,2903201,MASCULINO,0,4,4
BA,BARRO ALTO,2903235,MASCULINO,0,2,2
BA,BARRO PRETO,2903300,FEMININO,0,1,1
BA,BARRO PRETO,2903300,MASCULINO,0,1,1
BA,BARROCAS,2903276,MASCULINO,0,2,2
BA,BELMONTE,2903409,MASCULINO,0,3,3
BA,BELO CAMPO,2903508,MASCULINO,0,3,3
BA,BIRITINGA,2903607,MASCULINO,0,5,5
BA,BOA NOVA,2903706,FEMININO,0,1,1
BA,BOA NOVA,2903706,MASCULINO,0,3,3
BA,BOA VISTA DO TUPIM,2903805,MASCULINO,0,4,4
BA,BOM JESUS DA LAPA,2903904,MASCULINO,0,3,3
BA,BOM JESUS DA SERRA,2903953,MASCULINO,0,3,3
BA,BONINAL,2904001,FEMININO,0,1,1
BA,BONINAL,2904001,MASCULINO,0,2,2
BA,BONITO,2904050,MASCULINO,0,2,2
BA,BOQUIRA,2904100,MASCULINO,0,3,3
BA,BOTUPORÃ,2904209,MASCULINO,0,2,2
BA,BREJÕES,2904308,MASCULINO,0,5,5
BA,BREJOLÂNDIA,2904407,MASCULINO,0,2,2
BA,BROTAS DE MACAÚBAS,2904506,MASCULINO,0,4,4
BA,BRUMADO,2904605,MASCULINO,0,4,4
BA,BUERAREMA,2904704,MASCULINO,0,2,2
BA,BURITIRAMA,2904753,MASCULINO,0,4,4
BA,CAATIBA,2904803,FEMININO,0,1,1
BA,CAATIBA,2904803,MASCULINO,0,1,1
BA,CABACEIRAS DO PARAGUAÇU,2904852,FEMININO,0,1,1
BA,CABACEIRAS DO PARAGUAÇU,2904852,MASCULINO,0,3,3
BA,CACHOEIRA,2904902,FEMININO,0,1,1
BA,CACHOEIRA,2904902,MASCULINO,0,4,4
BA,CACULÉ,2905008,MASCULINO,0,2,2
BA,CAEM,2905107,MASCULINO,0,2,2
BA,CAETANOS,2905156,MASCULINO,0,3,3
BA,CAETITÉ,2905206,MASCULINO,0,4,4
BA,CAFARNAUM,2905305,FEMININO,0,1,1
BA,CAFARNAUM,2905305,MASCULINO,0,1,1
BA,CAIRU,2905404,MASCULINO,0,4,4
BA,CALDEIRÃO GRANDE,2905503,MASCULINO,0,3,3
BA,CAMACAN,2905602,MASCULINO,0,3,3
BA,CAMAÇARI,2905701,FEMININO,0,1,1
BA,CAMAÇARI,2905701,MASCULINO,0,10,10
BA,CAMAMU,2905800,MASCULINO,0,2,2
BA,CAMPO ALEGRE DE LOURDES,2905909,FEMININO,0,1,1
BA,CAMPO ALEGRE DE LOURDES,2905909,MASCULINO,0,2,2
BA,CAMPO FORMOSO,2906006,FEMININO,0,1,1
BA,CAMPO FORMOSO,2906006,MASCULINO,0,1,1
BA,CANÁPOLIS,2906105,MASCULINO,0,3,3
BA,CANARANA,2906204,FEMININO,0,1,1
BA,CANARANA,2906204,MASCULINO,0,2,2
BA,CANAVIEIRAS,2906303,MASCULINO,0,3,3
BA,CANDEAL,2906402,MASCULINO,0,3,3
BA,CANDEIAS,2906501,FEMININO,0,3,3
BA,CANDEIAS,2906501,MASCULINO,0,5,5
BA,CANDIBA,2906600,FEMININO,0,1,1
BA,CANDIBA,2906600,MASCULINO,0,2,2
BA,CÂNDIDO SALES,2906709,FEMININO,0,2,2
BA,CÂNDIDO SALES,2906709,MASCULINO,0,4,4
BA,CANSANÇÃO,2906808,FEMININO,0,1,1
BA,CANSANÇÃO,2906808,MASCULINO,0,3,3
BA,CANUDOS,2906824,FEMININO,0,2,2
BA,CANUDOS,2906824,MASCULINO,0,2,2
BA,CAPELA DO ALTO ALEGRE,2906857,MASCULINO,0,2,2
BA,CAPIM GROSSO,2906873,MASCULINO,0,3,3
BA,CARAÍBAS,2906899,FEMININO,0,1,1
BA,CARAÍBAS,2906899,MASCULINO,0,2,2
BA,CARAVELAS,2906907,MASCULINO,0,4,4
BA,CARDEAL DA SILVA,2907004,FEMININO,0,1,1
BA,CARDEAL DA SILVA,2907004,MASCULINO,0,1,1
BA,CARINHANHA,2907103,FEMININO,0,1,1
BA,CARINHANHA,2907103,MASCULINO,0,3,3
BA,CASA NOVA,2907202,MASCULINO,0,5,5
BA,CASTRO ALVES,2907301,FEMININO,0,1,1
BA,CASTRO ALVES,2907301,MASCULINO,0,2,2
BA,CATOLÂNDIA,2907400,MASCULINO,0,2,2
BA,CATU,2907509,FEMININO,0,1,1
BA,CATU,2907509,MASCULINO,0,5,5
BA,CATURAMA,2907558,MASCULINO,0,2,2
BA,CENTRAL,2907608,MASCULINO,0,5,5
BA,CHORROCHÓ,2907707,MASCULINO,0,3,3
BA,CÍCERO DANTAS,2907806,MASCULINO,0,3,3
BA,CIPÓ,2907905,FEMININO,0,1,1
BA,CIPÓ,2907905,MASCULINO,0,3,3
BA,COARACI,2908002,FEMININO,0,1,1
BA,COARACI,2908002,MASCULINO,0,4,4
BA,COCOS,2908101,MASCULINO,0,2,2
BA,CONCEIÇÃO DA FEIRA,2908200,FEMININO,0,1,1
BA,CONCEIÇÃO DA FEIRA,2908200,MASCULINO,0,3,3
BA,CONCEIÇÃO DO ALMEIDA,2908309,MASCULINO,0,2,2
BA,CONCEIÇÃO DO COITÉ,2908408,MASCULINO,0,3,3
BA,CONCEIÇÃO DO JACUÍPE,2908507,FEMININO,0,2,2
BA,CONCEIÇÃO DO JACUÍPE,2908507,MASCULINO,0,5,5
BA,CONDE,2908606,MASCULINO,0,3,3
BA,CONDEÚBA,2908705,FEMININO,0,1,1
BA,CONDEÚBA,2908705,MASCULINO,0,1,1
BA,CONTENDAS DO SINCORÁ,2908804,FEMININO,0,1,1
BA,CONTENDAS DO SINCORÁ,2908804,MASCULINO,0,1,1
