codigo_ibge,candidaturas,sigla_uf,BRANCA,PARDA,PRETA,INDÍGENA,SEM INFORMAÇÃO,AMARELA
2924900,2,BA,1,1,0,0,0,0
2925006,4,BA,1,3,0,0,0,0
2925105,6,BA,2,3,0,0,1,0
2925204,5,BA,0,4,1,0,0,0
2925253,2,BA,0,2,0,0,0,0
2925303,6,BA,6,0,0,0,0,0
2925402,2,BA,0,2,0,0,0,0
2925501,4,BA,2,1,1,0,0,0
2925600,2,BA,1,1,0,0,0,0
2925709,3,BA,2,1,0,0,0,0
2925758,5,BA,1,4,0,0,0,0
2925808,2,BA,1,1,0,0,0,0
2925907,2,BA,0,2,0,0,0,0
2925931,2,BA,0,1,1,0,0,0
2925956,4,BA,2,1,0,0,1,0
2926004,3,BA,1,2,0,0,0,0
2926103,2,BA,0,2,0,0,0,0
2926202,2,BA,0,2,0,0,0,0
2926301,3,BA,1,1,0,0,0,1
2926400,3,BA,2,1,0,0,0,0
2926509,4,BA,1,3,0,0,0,0
2926608,2,BA,0,2,0,0,0,0
2926657,3,BA,1,2,0,0,0,0
2926707,2,BA,2,0,0,0,0,0
2926806,3,BA,3,0,0,0,0,0
2926905,2,BA,1,1,0,0,0,0
2927002,4,BA,2,2,0,0,0,0
2927101,2,BA,0,2,0,0,0,0
2927200,3,BA,1,2,0,0,0,0
2927309,6,BA,3,2,1,0,0,0
2927408,9,BA,3,1,5,0,0,0
2927507,3,BA,0,2,1,0,0,0
2927606,3,BA,1,2,0,0,0,0
2927705,7,BA,0,6,1,0,0,0
2927804,4,BA,2,2,0,0,0,0
2927903,2,BA,0,2,0,0,0,0
2928059,4,BA,1,3,0,0,0,0
2928109,4,BA,2,2,0,0,0,0
2928406,3,BA,0,2,1,0,0,0
2928505,4,BA,2,2,0,0,0,0
2928000,3,BA,1,1,1,0,0,0
2928208,3,BA,2,1,0,0,0,0
2928307,2,BA,0,2,0,0,0,0
2928604,3,BA,0,3,0,0,0,0
2928703,7,BA,4,2,1,0,0,0
2928802,3,BA,2,1,0,0,0,0
2928901,2,BA,1,1,0,0,0,0
2928950,2,BA,2,0,0,0,0,0
2929107,2,BA,0,1,1,0,0,0
2929008,3,BA,0,1,2,0,0,0
2929057,3,BA,3,0,0,0,0,0
2929206,2,BA,0,1,1,0,0,0
2929255,3,BA,0,3,0,0,0,0
2929305,5,BA,0,3,2,0,0,0
2929354,2,BA,0,1,1,0,0,0
2929370,3,BA,1,1,1,0,0,0
2929404,4,BA,1,3,0,0,0,0
2929503,5,BA,2,3,0,0,0,0
2929602,5,BA,2,1,2,0,0,0
2929701,3,BA,1,2,0,0,0,0
2929750,3,BA,0,2,1,0,0,0
2929800,3,BA,3,0,0,0,0,0
2929909,3,BA,1,1,1,0,0,0
2930006,2,BA,1,1,0,0,0,0
2930105,4,BA,3,1,0,0,0,0
2930204,2,BA,0,1,1,0,0,0
2930154,5,BA,1,3,1,0,0,0
2930303,2,BA,2,0,0,0,0,0
2930402,4,BA,2,2,0,0,0,0
2930501,5,BA,3,2,0,0,0,0
2930600,2,BA,1,1,0,0,0,0
2930709,7,BA,2,3,2,0,0,0
2930758,3,BA,1,2,0,0,0,0
2930766,2,BA,1,0,1,0,0,0
2930774,5,BA,1,2,1,0,1,0
2930808,2,BA,0,2,0,0,0,0
2930907,2,BA,2,0,0,0,0,0
2931004,4,BA,4,0,0,0,0,0
2931053,2,BA,1,1,0,0,0,0
2931103,2,BA,0,1,0,0,1,0
2931202,3,BA,2,1,0,0,0,0
2931301,2,BA,0,2,0,0,0,0
2931350,8,BA,5,2,0,0,0,1
2931400,2,BA,0,1,1,0,0,0
2931509,3,BA,0,3,0,0,0,0
2931608,2,BA,0,2,0,0,0,0
2931707,4,BA,1,3,0,0,0,0
2931806,4,BA,1,3,0,0,0,0
2931905,7,BA,2,4,0,0,0,1
2932002,4,BA,2,1,1,0,0,0
2932101,3,BA,1,2,0,0,0,0
2932200,5,BA,2,3,0,0,0,0
2932309,3,BA,1,2,0,0,0,0
2932408,3,BA,1,2,0,0,0,0
2932457,4,BA,0,4,0,0,0,0
2932507,4,BA,1,2,1,0,0,0
2932606,3,BA,1,2,0,0,0,0
2932705,3,BA,1,2,0,0,0,0
2932804,3,BA,0,2,1,0,0,0
2932903,6,BA,3,3,0,0,0,0
2933000,4,BA,3,1,0,0,0,0
2933059,2,BA,0,2,0,0,0,0
2933109,2,BA,2,0,0,0,0,0
2933158,2,BA,1,1,0,0,0,0
2933174,2,BA,1,1,0,0,0,0
2933208,4,BA,1,2,1,0,0,0
2933257,2,BA,0,2,0,0,0,0
2933307,7,BA,3,3,1,0,0,0
2933406,2,BA,1,1,0,0,0,0
2933455,2,BA,1,1,0,0,0,0
2933505,2,BA,0,1,1,0,0,0
2933604,2,BA,0,2,0,0,0,0
2300101,2,CE,2,0,0,0,0,0
2300150,3,CE,1,2,0,0,0,0
2300200,3,CE,1,2,0,0,0,0
2300309,2,CE,2,0,0,0,0,0
2300408,2,CE,0,2,0,0,0,0
2300507,2,CE,1,1,0,0,0,0
2300606,2,CE,1,1,0,0,0,0
2300705,2,CE,1,1,0,0,0,0
2300754,6,CE,3,2,1,0,0,0
2300804,5,CE,3,2,0,0,0,0
2300903,2,CE,2,0,0,0,0,0
2301000,2,CE,2,0,0,0,0,0
2301109,2,CE,2,0,0,0,0,0
2301208,3,CE,1,2,0,0,0,0
2301257,2,CE,1,1,0,0,0,0
2301307,2,CE,1,1,0,0,0,0
2301406,3,CE,1,2,0,0,0,0
2301505,3,CE,1,2,0,0,0,0
2301604,4,CE,3,1,0,0,0,0
2301703,3,CE,0,3,0,0,0,0
2301802,2,CE,2,0,0,0,0,0
2301851,2,CE,0,2,0,0,0,0
2301901,2,CE,2,0,0,0,0,0
2301950,3,CE,1,1,0,0,0,1
2302008,3,CE,2,1,0,0,0,0
2302057,2,CE,1,1,0,0,0,0
2302107,5,CE,3,1,1,0,0,0
2302206,4,CE,3,1,0,0,0,0
2302305,4,CE,0,3,1,0,0,0
2302404,3,CE,1,1,1,0,0,0
2302503,3,CE,2,0,1,0,0,0
2302602,2,CE,0,2,0,0,0,0
2302701,4,CE,3,1,0,0,0,0
2302800,6,CE,4,2,0,0,0,0
2302909,3,CE,3,0,0,0,0,0
2303006,2,CE,0,2,0,0,0,0
2303105,3,CE,1,2,0,0,0,0
2303204,4,CE,1,3,0,0,0,0
