sigla_uf,nome_municipio,codigo_ibge,candidaturas,nao_brancos,brancos
AM,MAUÉS,1302900,3,0.6666666666666666,0.33333333333333337
AM,NHAMUNDÁ,1303007,4,1,0
AM,NOVA OLINDA DO NORTE,1303106,7,0.7142857142857143,0.2857142857142857
AM,NOVO AIRÃO,1303205,5,1,0
AM,NOVO ARIPUANÃ,1303304,4,0.75,0.25
AM,PARINTINS,1303403,3,0.6666666666666666,0.33333333333333337
AM,PAUINI,1303502,3,0.3333333333333333,0.6666666666666667
AM,PRESIDENTE FIGUEIREDO,1303536,10,0.5,0.5
AM,RIO PRETO DA EVA,1303569,2,1,0
AM,SANTA ISABEL DO RIO NEGRO,1303601,7,0.7142857142857143,0.2857142857142857
AM,SANTO ANTÔNIO DO IÇÁ,1303700,4,0.75,0.25
AM,SÃO GABRIEL DA CACHOEIRA,1303809,6,0.6666666666666666,0.33333333333333337
AM,SÃO PAULO DE OLIVENÇA,1303908,4,1,0
AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,5,0.8,0.19999999999999996
AM,SILVES,1304005,5,1,0
AM,TABATINGA,1304062,5,0.6,0.4
AM,TAPAUÁ,1304104,2,1,0
AM,TEFÉ,1304203,7,0.5714285714285714,0.4285714285714286
AM,TONANTINS,1304237,4,0.75,0.25
AM,UARINI,1304260,3,0.6666666666666666,0.33333333333333337
AM,URUCARÁ,1304302,5,0.8,0.19999999999999996
AM,URUCURITUBA,1304401,3,1,0
AP,ÁGUA BRANCA DO AMAPARI,1600154,3,0.6666666666666666,0.33333333333333337
AP,AMAPÁ,1600105,3,0.3333333333333333,0.6666666666666667
AP,CALÇOENE,1600204,5,0.6,0.4
AP,CUTIAS,1600212,5,1,0
AP,FERREIRA GOMES,1600238,5,1,0
AP,ITAUBAL,1600253,6,1,0
AP,LARANJAL DO JARI,1600279,5,0.8,0.19999999999999996
AP,MACAPÁ,1600303,10,0.7,0.30000000000000004
AP,MAZAGÃO,1600402,6,1,0
AP,OIAPOQUE,1600501,7,0.8571428571428571,0.1428571428571429
AP,PORTO GRANDE,1600535,7,0.7142857142857143,0.2857142857142857
AP,PRACUÚBA,1600550,5,0.8,0.19999999999999996
AP,SANTANA,1600600,9,0.7777777777777778,0.2222222222222222
AP,SERRA DO NAVIO,1600055,5,0.8,0.19999999999999996
AP,TARTARUGALZINHO,1600709,4,0.75,0.25
AP,VITÓRIA DO JARI,1600808,7,0.5714285714285714,0.4285714285714286
BA,ABAÍRA,2900108,2,0.5,0.5
BA,ABARÉ,2900207,3,1,0
BA,ACAJUTIBA,2900306,2,1,0
BA,ADUSTINA,2900355,3,0,1
BA,ÁGUA FRIA,2900405,4,0.75,0.25
BA,AIQUARA,2900603,2,1,0
BA,ALAGOINHAS,2900702,7,0.8571428571428571,0.1428571428571429
BA,ALCOBAÇA,2900801,3,0.6666666666666666,0.33333333333333337
BA,ALMADINA,2900900,4,0.5,0.5
BA,AMARGOSA,2901007,2,0.5,0.5
BA,AMÉLIA RODRIGUES,2901106,5,0.8,0.19999999999999996
BA,AMÉRICA DOURADA,2901155,4,0.75,0.25
BA,ANAGÉ,2901205,7,0.7142857142857143,0.2857142857142857
BA,ANDARAÍ,2901304,2,0.5,0.5
BA,ANDORINHA,2901353,3,0,1
BA,ANGICAL,2901403,3,0.6666666666666666,0.33333333333333337
BA,ANGUERA,2901502,2,1,0
BA,ANTAS,2901601,2,0.5,0.5
BA,ANTÔNIO CARDOSO,2901700,4,0.5,0.5
BA,ANTÔNIO GONÇALVES,2901809,3,0.6666666666666666,0.33333333333333337
BA,APORÁ,2901908,3,1,0
BA,APUAREMA,2901957,2,1,0
BA,ARAÇÁS,2902054,4,0.5,0.5
BA,ARACATU,2902005,2,0.5,0.5
BA,ARACI,2902104,3,0.3333333333333333,0.6666666666666667
BA,ARAMARI,2902203,3,1,0
BA,ARATACA,2902252,3,0.6666666666666666,0.33333333333333337
BA,ARATUÍPE,2902302,3,0.6666666666666666,0.33333333333333337
BA,AURELINO LEAL,2902401,2,1,0
BA,BAIANÓPOLIS,2902500,4,1,0
BA,BAIXA GRANDE,2902609,2,0,1
BA,BANZAÊ,2902658,2,1,0
BA,BARRA,2902708,4,0.5,0.5
BA,BARRA DA ESTIVA,2902807,3,0.6666666666666666,0.33333333333333337
BA,BARRA DO CHOÇA,2902906,4,0.75,0.25
BA,BARRA DO MENDES,2903003,2,0.5,0.5
BA,BARRA DO ROCHA,2903102,2,0.5,0.5
BA,BARREIRAS,2903201,4,0.75,0.25
BA,BARRO ALTO,2903235,2,0.5,0.5
BA,BARRO PRETO,2903300,2,1,0
BA,BARROCAS,2903276,2,0.5,0.5
BA,BELMONTE,2903409,3,1,0
BA,BELO CAMPO,2903508,3,0.6666666666666666,0.33333333333333337
BA,BIRITINGA,2903607,5,1,0
BA,BOA NOVA,2903706,4,0.5,0.5
BA,BOA VISTA DO TUPIM,2903805,4,1,0
BA,BOM JESUS DA LAPA,2903904,3,1,0
BA,BOM JESUS DA SERRA,2903953,3,1,0
BA,BONINAL,2904001,3,0.3333333333333333,0.6666666666666667
BA,BONITO,2904050,2,0.5,0.5
BA,BOQUIRA,2904100,3,0.3333333333333333,0.6666666666666667
BA,BOTUPORÃ,2904209,2,0.5,0.5
BA,BREJÕES,2904308,5,0.2,0.8
BA,BREJOLÂNDIA,2904407,2,0.5,0.5
BA,BROTAS DE MACAÚBAS,2904506,4,0.5,0.5
BA,BRUMADO,2904605,4,0.5,0.5
BA,BUERAREMA,2904704,2,1,0
BA,BURITIRAMA,2904753,4,1,0
BA,CAATIBA,2904803,2,0.5,0.5
BA,CABACEIRAS DO PARAGUAÇU,2904852,4,0.25,0.75
BA,CACHOEIRA,2904902,5,0.8,0.19999999999999996
BA,CACULÉ,2905008,2,0,1
BA,CAEM,2905107,2,0,1
BA,CAETANOS,2905156,3,0.3333333333333333,0.6666666666666667
BA,CAETITÉ,2905206,4,0.25,0.75
BA,CAFARNAUM,2905305,2,0.5,0.5
BA,CAIRU,2905404,4,0.75,0.25
BA,CALDEIRÃO GRANDE,2905503,3,0.6666666666666666,0.33333333333333337
BA,CAMACAN,2905602,3,0.6666666666666666,0.33333333333333337
